layer_id,source,target,friend
3,1,8,1
3,1,58,1
3,1,112,1
3,2,90,1
3,2,100,1
3,3,31,1
3,3,35,1
3,3,44,1
3,4,33,1
3,4,94,1
3,4,106,1
3,5,12,1
3,5,60,1
3,5,99,1
3,6,94,1
3,7,80,1
3,7,106,1
3,8,30,1
3,8,83,1
3,8,98,1
3,9,42,1
3,9,51,1
3,9,98,1
3,10,61,1
3,10,79,1
3,11,58,1
3,12,5,1
3,12,31,1
3,12,106,1
3,13,104,1
3,14,57,1
3,14,113,1
3,15,5,1
3,15,54,1
3,15,114,1
3,16,3,1
3,16,29,1
3,16,98,1
3,17,11,1
3,17,48,1
3,17,100,1
3,18,83,1
3,18,105,1
3,19,41,1
3,19,52,1
3,19,78,1
3,20,35,1
3,20,37,1
3,20,95,1
3,21,10,1
3,21,114,1
3,22,23,1
3,22,51,1
3,22,54,1
3,23,22,1
3,23,54,1
3,23,86,1
3,24,95,1
3,25,66,1
3,25,103,1
3,26,42,1
3,26,76,1
3,27,62,1
3,27,115,1
3,28,36,1
3,28,88,1
3,28,95,1
3,29,41,1
3,29,94,1
3,30,98,1
3,30,100,1
3,30,103,1
3,31,35,1
3,31,44,1
3,31,54,1
3,32,55,1
3,32,109,1
3,33,4,1
3,33,69,1
3,34,93,1
3,34,103,1
3,34,106,1
3,35,3,1
3,35,31,1
3,35,44,1
3,36,53,1
3,36,96,1
3,36,100,1
3,37,20,1
3,37,29,1
3,37,46,1
3,38,7,1
3,38,106,1
3,39,29,1
3,39,31,1
3,39,41,1
3,40,44,1
3,40,100,1
3,41,29,1
3,41,55,1
3,41,94,1
3,42,57,1
3,42,102,1
3,43,37,1
3,43,97,1
3,43,99,1
3,44,31,1
3,44,35,1
3,44,54,1
3,46,20,1
3,46,37,1
3,46,81,1
3,47,58,1
3,47,101,1
3,47,108,1
3,48,50,1
3,48,97,1
3,48,111,1
3,49,27,1
3,49,28,1
3,49,45,1
3,50,97,1
3,50,111,1
3,51,23,1
3,51,35,1
3,51,114,1
3,52,61,1
3,52,81,1
3,52,100,1
3,53,108,1
3,54,31,1
3,54,44,1
3,54,95,1
3,55,41,1
3,56,72,1
3,56,82,1
3,56,91,1
3,57,61,1
3,57,99,1
3,58,47,1
3,58,48,1
3,58,111,1
3,59,64,1
3,59,69,1
3,60,84,1
3,60,102,1
3,61,10,1
3,61,79,1
3,62,3,1
3,62,37,1
3,62,54,1
3,63,8,1
3,64,59,1
3,64,69,1
3,65,69,1
3,65,87,1
3,65,110,1
3,66,25,1
3,67,5,1
3,67,43,1
3,67,99,1
3,68,60,1
3,69,59,1
3,69,64,1
3,71,34,1
3,71,58,1
3,71,108,1
3,74,57,1
3,78,48,1
3,78,50,1
3,78,111,1
3,79,10,1
3,79,50,1
3,79,61,1
3,81,40,1
3,81,61,1
3,81,79,1
3,82,46,1
3,82,47,1
3,82,56,1
3,83,8,1
3,83,18,1
3,84,96,1
3,84,102,1
3,86,23,1
3,86,51,1
3,86,93,1
3,87,65,1
3,87,110,1
3,90,17,1
3,90,22,1
3,90,76,1
3,92,47,1
3,92,55,1
3,92,93,1
3,93,36,1
3,93,47,1
3,93,70,1
3,94,36,1
3,94,108,1
3,95,44,1
3,95,54,1
3,95,100,1
3,96,78,1
3,96,89,1
3,98,100,1
3,99,29,1
3,99,43,1
3,99,94,1
3,100,52,1
3,100,81,1
3,100,95,1
3,101,45,1
3,101,47,1
3,102,65,1
3,102,69,1
3,102,87,1
3,103,25,1
3,103,30,1
3,103,65,1
3,104,84,1
3,104,111,1
3,104,115,1
3,105,18,1
3,108,112,1
